2024/08/28 09:03:50 
===============================
______             _           
|  _  \           | |          
| | | |  ___  ___ | | __ _   _ 
| | | | / _ \/ __|| |/ /| | | |
| |/ / |  __/\__ \|   < | |_| |
|___/   \___||___/|_|\_\ \__, |
                          __/ |
                         |___/
===============================   
 - Desky succsessfully started on: 0.0.0.0:443
 - Proxmox module is up: true
===============================                   
2024/08/28 09:12:54 | 10.192.10.100:57866 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:14:16 | 10.192.10.100:57866 > /dashboard/docker.
2024/08/28 09:14:17 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:14:17 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:14:57 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:14:57 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:14:57 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:14:57 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:14:58 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:14:58 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:14:58 | 10.192.10.100:57866 > /dashboard/proxmox.
2024/08/28 09:14:58 | 10.192.10.100:57866 > /static/css/proxmox.css.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /dashboard/proxmox.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/css/font-awesome.min.css.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/css/proxmox.css.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/css/index.css.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/images/web-icons/shell.svg.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/images/web-icons/docker.svg.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/images/web-icons/lxc.svg.
2024/08/28 09:15:01 | 10.192.10.100:38752 > /static/images/web-icons/vm.svg.
2024/08/28 09:15:02 | 10.192.10.100:38752 > /static/images/image.jpg.
2024/08/28 09:15:02 | 10.192.10.100:38752 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
2024/08/28 09:16:27 | 10.192.10.100:38752 > /dashboard/proxmox.
2024/08/28 09:16:27 | 10.192.10.100:38752 > /static/css/proxmox.css.
2024/08/28 09:17:10 | 10.192.10.100:38752 > /dashboard/proxmox.
2024/08/28 09:17:10 | 10.192.10.100:38752 > /static/css/proxmox.css.
2024/08/28 09:17:11 | 10.192.10.100:38752 > /dashboard/proxmox.
2024/08/28 09:17:11 | 10.192.10.100:38752 > /static/css/proxmox.css.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /dashboard/proxmox.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/css/font-awesome.min.css.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/css/proxmox.css.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/css/index.css.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/web-icons/shell.svg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/web-icons/docker.svg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/web-icons/proxmox.svg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/web-icons/lxc.svg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/web-icons/vm.svg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/images/image.jpg.
2024/08/28 09:17:12 | 10.192.10.100:44798 > /static/fonts/fontawesome-webfont.woff2?v=4.7.0.
